policy,noise_type,noise_level,seed,mean_loss,final_abs_theta,final_abs_x,max_abs_action,success_final_theta_lt_0p25
linear_near,observation,0.03,13,0.2994340296067501,0.1938443286871423,0.3608317061400913,16.704777904624386,True
linear_near,observation,0.03,14,0.6628303101671281,2.86381946642312,60.557103267711156,19.999999999983807,False
linear_near,observation,0.03,15,0.5658353755704274,2.7983395850085855,20.402023891947316,19.99999999999457,False
linear_near,observation,0.03,16,0.9460759564408161,0.12491862232068973,186.58745682436285,20.0,True
linear_near,observation,0.03,17,0.3562434745527116,0.40888746769730977,0.5521583131595488,16.033417208711203,False
linear_near,observation,0.03,18,0.7449722904004292,2.618140600367438,169.97945237243232,20.0,False
linear_near,observation,0.03,19,0.8767991624373099,2.758532843788455,183.18747493379416,20.0,False
linear_near,observation,0.03,20,0.7759988546826884,1.0264476343186102,111.2567176208873,20.0,False
linear_near,observation,0.03,21,0.33601765762243685,0.30518413414133727,0.3668354298871792,17.374325587837312,False
linear_near,observation,0.03,22,0.6509793288692924,2.247511653759411,26.718807654520845,20.0,False
linear_near,observation,0.03,23,0.35337777131502945,0.5417511405311295,0.4699253926355534,16.737550889304643,False
linear_near,observation,0.03,24,0.8159098988283285,0.8064908524119847,186.02029936900337,20.0,False
linear_near,observation,0.03,25,0.6631150286020862,0.505931052500562,95.09030252145334,20.0,False
linear_near,observation,0.03,26,0.9580319637471484,0.05773468060120601,441.1987734548172,20.0,True
linear_near,observation,0.03,27,0.89240045228969,0.12023783202757032,317.9848723400726,20.0,True
linear_near,observation,0.03,28,0.9110119139352559,2.6453680878073413,352.74158905372116,20.0,False
linear_near,observation,0.03,29,0.5804761760912329,0.1206621107596697,9.202602672543003,19.999999861676017,True
linear_near,observation,0.06,0,0.9617924579163983,2.512785085214027,440.07294875452567,20.0,False
linear_near,observation,0.06,1,0.9615058706948891,0.9358490855611765,522.4683428372385,20.0,False
linear_near,observation,0.06,2,0.9748922015230265,0.2122966836774558,474.1307975712457,20.0,True
linear_near,observation,0.06,3,0.9471127101474651,2.6351613513033563,398.5377093119974,20.0,False
linear_near,observation,0.06,4,0.9770685264677248,1.9883598710366206,526.8867655165735,20.0,False
linear_near,observation,0.06,5,0.9878085920308607,2.4129145140163715,453.5313627799526,20.0,False
linear_near,observation,0.06,6,0.9489554967794886,1.889330410200131,417.2055965025057,20.0,False
linear_near,observation,0.06,7,0.9812834306434834,2.216717575553443,263.01640237929286,20.0,False
linear_near,observation,0.06,8,0.9388474715905747,0.19129899001340744,360.30186441315556,20.0,True
linear_near,observation,0.06,9,0.9504558901299851,3.0783721735225877,433.7393024715632,20.0,False
linear_near,observation,0.06,10,0.8635034019839708,1.6200400778278454,317.9362014910835,20.0,False
linear_near,observation,0.06,11,0.9945639154653451,1.2865260167056247,578.5463739593459,20.0,False
linear_near,observation,0.06,12,0.981160940680515,1.3434392516882534,434.36008766109,20.0,False
linear_near,observation,0.06,13,0.9614224427286293,2.2337013786802125,416.5682822008377,20.0,False
linear_near,observation,0.06,14,0.9448291479071512,0.11270476988600953,463.6663911291731,20.0,True
linear_near,observation,0.06,15,0.9990945865720763,1.3364197716425248,578.2249854647406,20.0,False
linear_near,observation,0.06,16,0.956207516462393,1.568015608849569,464.8563620364299,20.0,False
linear_near,observation,0.06,17,0.9092660609690186,1.9617369896840353,396.8021104365425,20.0,False
linear_near,observation,0.06,18,0.969013349103644,0.10224669779333517,431.7081249949553,20.0,True
linear_near,observation,0.06,19,0.9300002246826267,0.4891971670266533,413.8491397088276,20.0,False
linear_near,observation,0.06,20,0.9817297424939084,1.0325499142887704,536.4511992368195,20.0,False
linear_near,observation,0.06,21,0.9609522563220746,1.6375033382427295,479.44636524963823,20.0,False
linear_near,observation,0.06,22,0.9807314923935375,0.2922861413669522,482.92465936341176,20.0,False
linear_near,observation,0.06,23,0.8802965279343751,1.192190277793121,310.215973575942,20.0,False
linear_near,observation,0.06,24,0.992777793845172,3.1380927930482176,395.93263530104844,20.0,False
linear_near,observation,0.06,25,0.8919535762295242,2.1466245575116756,329.84630133574683,20.0,False
linear_near,observation,0.06,26,0.9641180022839636,0.9606254431948695,402.07126562053065,20.0,False
linear_near,observation,0.06,27,0.9606541728869132,0.35713079047520857,428.45830885272954,20.0,False
linear_near,observation,0.06,28,0.9767417652756748,2.6791082792330165,526.8298372669486,20.0,False
linear_near,observation,0.06,29,0.9513247416411985,0.11246253902677461,465.3004133926638,20.0,True
linear_near,observation,0.1,0,0.9819831472500197,1.501203479252843,571.7454976239204,20.0,False
linear_near,observation,0.1,1,0.9628550310951659,2.4970930229513453,514.1923803451172,20.0,False
linear_near,observation,0.1,2,0.9887931742313167,1.6483117339530349,538.2085204359851,20.0,False
linear_near,observation,0.1,3,0.9902116472093905,1.5187453813974656,431.27648455789557,20.0,False
linear_near,observation,0.1,4,0.9816506641447973,1.476524543211977,502.40804712171763,20.0,False
linear_near,observation,0.1,5,0.997721515477597,0.1856972709025868,574.0825410112974,20.0,True
linear_near,observation,0.1,6,0.986902052202566,2.262766194927431,562.0567644939007,20.0,False
linear_near,observation,0.1,7,0.9989336626868025,2.3096414754531907,283.7512184058384,20.0,False
linear_near,observation,0.1,8,0.9505713219863313,1.2162088242911597,490.11425957193626,20.0,False
linear_near,observation,0.1,9,0.9796215221597799,1.1383543078217722,499.610969681644,20.0,False
linear_near,observation,0.1,10,0.9534844279041993,1.7404816246742552,348.4379925238079,20.0,False
linear_near,observation,0.1,11,0.9987682860768723,2.2940647824504303,571.515728272879,20.0,False
linear_near,observation,0.1,12,0.9819028582080046,2.3520772176553395,527.3298153999749,20.0,False
linear_near,observation,0.1,13,0.9847420155680476,2.272487889993805,539.9639557921632,20.0,False
linear_near,observation,0.1,14,0.9640337462183892,2.134572129786606,534.5814697375099,20.0,False
linear_near,observation,0.1,15,0.9997831064525355,2.454083484053589,584.2504458838645,20.0,False
linear_near,observation,0.1,16,0.986957411752296,2.1880870596557314,553.4302973960528,20.0,False
linear_near,observation,0.1,17,0.9403658449158804,0.7512278747809082,452.7675936205881,20.0,False
linear_near,observation,0.1,18,0.9858957510853048,1.9175376643951278,537.4685858567003,20.0,False
linear_near,observation,0.1,19,0.9405043121120384,2.3488739635743805,386.50628004400727,20.0,False
